team,key,value,eventTime
1,159471718,98,0
1,159471718,98,5114
1,159471718,98,10229
1,159471718,98,15344
1,159471718,98,20459
1,159471718,98,25574
1,159471718,98,30689
1,159471718,98,35804
1,159471718,98,40919
0,162630758,69,2682319
0,162630758,69,2687247
1,159472740,19,4469421
0,160532580,67,5384330
0,160532580,67,5389247
0,162629732,66,5390024
0,159482979,75,5392649
0,160532580,67,5394164
0,162629732,66,5394936
0,163678308,65,5396250
0,159482979,75,5397617
0,160532580,67,5399081
0,162629732,66,5399848
0,163678308,65,5401154
0,159482979,75,5402585
0,161582183,40,5403106
0,160532580,67,5403998
1,161570916,47,5404598
0,162629732,66,5404760
0,163678308,65,5406058
0,159482979,75,5407553
0,161582183,40,5407850
0,160532580,67,5408915
1,161570916,47,5409387
0,164725859,64,5409481
0,162629732,66,5409672
0,163678308,65,5410962
0,159482979,75,5412521
0,161582183,40,5412594
0,158434404,44,5413057
1,162622566,59,5413060
0,158436452,68,5413383
0,160532580,67,5413832
1,161570916,47,5414176
0,157382756,106,5414320
0,164725859,64,5414377
0,162629732,66,5414584
0,161582179,61,5414681
1,162622564,49,5414986
0,163678308,65,5415866
0,161582183,40,5417338
0,159482979,75,5417489
0,158434404,44,5417825
1,162622566,59,5417924
0,158436452,68,5418306
0,160532580,67,5418749
1,161570916,47,5418965
0,164725859,64,5419273
0,157382756,106,5419488
0,162629732,66,5419495
0,161582179,61,5419561
1,162623588,28,5419777
1,162622564,49,5419786
0,163678308,65,5420770
0,160532584,99,5421608
0,161582183,40,5422082
0,159482979,75,5422458
0,158434404,44,5422593
0,160533604,38,5422639
1,162622566,59,5422788
0,158436452,68,5423229
0,160532580,67,5423666
1,161570916,47,5423754
0,164725859,64,5424169
0,162629732,66,5424407
0,161582179,61,5424441
1,162623588,28,5424444
1,162622564,49,5424586
0,157382756,106,5424656
1,157379684,58,5425067
1,158427236,54,5425442
0,163678308,65,5425674
0,160532584,99,5426729
0,161582183,40,5426826
0,158434404,44,5427361
0,160533604,38,5427370
0,159482979,75,5427426
1,162622566,59,5427652
0,158436452,68,5428152
1,161570916,47,5428543
0,160532580,67,5428583
0,164725859,64,5429065
1,162623588,28,5429111
0,159485029,100,5429295
0,162629732,66,5429319
0,161582179,61,5429321
1,162622564,49,5429386
0,157382756,106,5429824
0,157384800,105,5429875
1,157379684,58,5429926
0,157384804,73,5429944
1,158427236,54,5430273
0,163678308,65,5430578
0,161582183,40,5431570
0,160532584,99,5431851
0,160533604,38,5432101
0,158434404,44,5432129
0,159482979,75,5432394
1,162622566,59,5432516
0,158436452,68,5433075
1,161570916,47,5433332
0,160532580,67,5433500
1,162623588,28,5433778
0,164725859,64,5433961
1,162622564,49,5434186
0,161582179,61,5434201
0,162629732,66,5434231
0,159485029,100,5434423
1,157379684,58,5434785
0,157384804,73,5434899
0,157382756,106,5434992
0,157384800,105,5435035
1,158427236,54,5435105
0,163678308,65,5435482
1,162619491,16,5436295
0,161582183,40,5436314
0,160533604,38,5436832
0,158434404,44,5436896
0,160532584,99,5436973
0,159482979,75,5437362
1,162622566,59,5437380
1,158425191,97,5437599
0,158436452,68,5437998
1,161570916,47,5438121
0,160532580,67,5438417
1,162623588,28,5438445
0,164725859,64,5438857
1,159473763,14,5438923
1,162622564,49,5438986
0,161582179,61,5439081
0,162629732,66,5439143
0,159485029,100,5439551
1,157379684,58,5439644
0,157384804,73,5439854
0,157382756,106,5440160
0,157384800,105,5440195
0,163678308,65,5440386
1,162619491,16,5440887
0,161582183,40,5441058
0,160533604,38,5441563
0,158434404,44,5441664
1,157378660,53,5441864
1,157378661,23,5441947
1,162622566,59,5442244
0,159482979,75,5442330
1,158425191,97,5442708
1,161570916,47,5442910
0,158436452,68,5442921
1,162623588,28,5443112
0,160532580,67,5443334
1,159473763,14,5443499
0,164725859,64,5443753
1,162622564,49,5443786
0,161582179,61,5443961
0,162629732,66,5444055
1,157379684,58,5444503
0,159485029,100,5444679
1,158426214,24,5444803
0,157384804,73,5444809
0,163678308,65,5445290
0,157382756,106,5445328
0,157384800,105,5445355
1,162619491,16,5445479
0,161582183,40,5445802
0,160533604,38,5446294
0,158434404,44,5446432
1,157378661,23,5446582
1,157378660,53,5446691
1,162622566,59,5447108
0,159482979,75,5447298
1,161570916,47,5447699
1,162623588,28,5447779
1,158425191,97,5447817
0,158436452,68,5447844
1,159473763,14,5448075
0,157384804,74,5448085
0,160532580,67,5448251
1,162622564,49,5448586
0,164725859,64,5448649
0,161582179,61,5448841
0,162629732,66,5448967
1,157379684,58,5449362
1,158426214,24,5449443
0,157384804,73,5449764
0,159485029,100,5449808
1,162622563,88,5450055
1,162619491,16,5450071
0,163678308,65,5450194
0,157382756,106,5450496
0,157384800,105,5450515
0,161582183,40,5450546
0,160533604,38,5451025
0,158434404,44,5451200
1,157378661,23,5451217
1,157378660,53,5451518
1,162622566,59,5451971
0,159482979,75,5452266
1,162623588,28,5452446
1,161570916,47,5452488
1,159473763,14,5452651
0,158436452,68,5452767
1,158425191,97,5452926
0,157384805,74,5453047
0,160532580,67,5453168
1,162622564,49,5453386
0,164725859,64,5453545
0,161582179,61,5453721
0,162629732,66,5453879
1,158426214,24,5454083
1,157379684,58,5454221
1,162619491,16,5454663
0,157384804,73,5454719
0,159485029,100,5454936
0,163678308,65,5455098
1,162622563,88,5455106
0,161582183,40,5455290
0,157382756,106,5455664
0,157384800,105,5455675
0,160533604,38,5455756
1,157378661,23,5455852
0,158434404,44,5455968
1,157378660,53,5456345
1,162622566,59,5456835
1,162623588,28,5457113
1,159473763,14,5457227
0,159482979,75,5457234
1,161570916,47,5457277
0,158436452,68,5457690
0,163676260,63,5457752
0,157384805,74,5458009
1,158425191,97,5458035
1,158425188,13,5458083
0,160532580,67,5458085
1,162622564,49,5458186
0,164725859,64,5458441
0,161582179,61,5458601
1,158426214,24,5458723
0,162629732,66,5458791
1,157379684,58,5459080
1,162619491,16,5459255
0,157384804,73,5459674
0,163678308,65,5460002
0,161582183,40,5460034
0,159485029,100,5460064
1,162622563,88,5460157
0,160533604,38,5460487
1,157378661,23,5460487
0,158434404,44,5460736
0,157382756,106,5460832
0,157384800,105,5460835
1,157378660,53,5461172
1,162622566,59,5461699
1,162623588,28,5461780
1,159473763,14,5461803
1,161570916,47,5462066
0,159482979,75,5462202
0,158436452,68,5462613
0,163676260,63,5462643
1,158425188,13,5462654
0,162629733,71,5462882
0,157384805,74,5462971
1,162622564,49,5462986
0,160532580,67,5463002
1,158425191,97,5463144
0,164725859,64,5463337
1,158426214,24,5463363
0,161582179,61,5463481
0,162629732,66,5463703
1,162619491,16,5463847
1,157379684,58,5463938
0,157384804,73,5464629
0,161582183,40,5464778
0,163678308,65,5464906
1,157378661,23,5465122
0,159485029,100,5465192
1,162622563,88,5465208
0,160533604,38,5465218
0,158434404,44,5465504
0,157384800,105,5465995
1,157378660,53,5465999
0,157382756,106,5466000
1,159473763,14,5466379
1,162623588,28,5466447
1,162622566,59,5466563
1,161570916,47,5466855
0,159482979,75,5467170
1,158425188,13,5467225
0,163676260,63,5467534
0,158436452,68,5467535
1,162622564,49,5467786
0,162629733,71,5467826
0,160532580,67,5467919
0,157384805,74,5467933
1,158426214,24,5468003
0,164725859,64,5468233
1,159473767,97,5468253
0,161582179,61,5468361
1,162619491,16,5468439
0,162629732,66,5468615
1,157379684,58,5468797
0,161582183,40,5469522
0,157384804,73,5469584
1,157378661,23,5469757
0,163678308,65,5469810
0,160533604,38,5469949
1,162622563,88,5470259
0,158434404,44,5470272
0,159485029,100,5470320
1,157378660,53,5470826
1,159473763,14,5470955
1,162623588,28,5471114
0,157384800,105,5471155
0,157382756,106,5471168
1,162622566,59,5471427
1,161570916,47,5471644
1,158425188,13,5471796
1,157379684,57,5472058
0,159482979,75,5472138
0,163676260,63,5472425
0,158436452,68,5472458
1,162622564,49,5472586
1,158426214,24,5472643
0,162629733,71,5472770
0,160532580,67,5472836
0,157384805,74,5472895
1,162619491,16,5473031
0,164725859,64,5473129
0,161582179,61,5473241
1,158425191,97,5473362
0,162629732,66,5473527
1,157379684,58,5473656
0,161582183,40,5474266
1,157378661,23,5474392
0,157384804,73,5474539
0,160533604,38,5474680
0,163678308,65,5474714
0,158434404,44,5475040
1,162622563,88,5475310
0,159485029,100,5475448
1,159473763,14,5475531
1,157378660,53,5475653
1,162623588,28,5475781
1,162622566,59,5476291
0,157384800,105,5476315
0,157382756,106,5476336
1,158425188,13,5476367
1,161570916,47,5476433
1,157379684,57,5476911
0,159482979,75,5477106
1,158426214,24,5477283
0,163676260,63,5477316
0,158436452,68,5477381
1,162622564,49,5477386
1,162619491,16,5477623
0,162629733,71,5477714
0,160532580,67,5477753
0,157384805,74,5477857
0,164725859,64,5478025
0,161582179,61,5478121
0,162629732,66,5478439
1,158425191,97,5478471
