team,key,value,eventTime,arrivalTime,processedTime
1,159471718,98,0,1,0
1,159471718,98,5114,5115,0
1,159471718,98,10229,10236,0
1,159471718,98,15344,15395,0
1,159471718,98,20459,20461,0
1,159471718,98,25574,25575,0
1,159471718,98,30689,30690,0
1,159471718,98,35804,35805,0
1,159471718,98,40919,40921,0
0,162630758,69,2682319,2682323,0
0,162630758,69,2687247,2687248,0
1,159472740,19,4469421,4469422,0
0,160532580,67,5384330,5384331,0
0,160532580,67,5389247,5389252,0
0,162629732,66,5390024,5390100,0
0,159482979,75,5392649,5392650,0
0,160532580,67,5394164,5394166,0
0,162629732,66,5394936,5394937,0
0,163678308,65,5396250,5396251,0
0,159482979,75,5397617,5397705,0
0,160532580,67,5399081,5399082,0
0,162629732,66,5399848,5399849,0
0,163678308,65,5401154,5401155,0
0,159482979,75,5402585,5402586,0
0,161582183,40,5403106,5403107,0
0,160532580,67,5403998,5403999,0
1,161570916,47,5404598,5404602,0
0,162629732,66,5404760,5404761,0
0,163678308,65,5406058,5406059,0
0,159482979,75,5407553,5407555,0
0,161582183,40,5407850,5407851,0
0,160532580,67,5408915,5408916,0
1,161570916,47,5409387,5409391,0
0,164725859,64,5409481,5409482,0
0,162629732,66,5409672,5409685,0
0,163678308,65,5410962,5410963,0
0,159482979,75,5412521,5412523,0
0,161582183,40,5412594,5412595,0
0,158434404,44,5413057,5413061,0
1,162622566,59,5413060,5413061,0
0,158436452,68,5413383,5413396,0
0,160532580,67,5413832,5413833,0
1,161570916,47,5414176,5414178,0
0,157382756,106,5414320,5414321,0
0,164725859,64,5414377,5414378,0
0,162629732,66,5414584,5414585,0
0,161582179,61,5414681,5414682,0
1,162622564,49,5414986,5414987,0
0,163678308,65,5415866,5415868,0
0,161582183,40,5417338,5417383,0
0,159482979,75,5417489,5417490,0
0,158434404,44,5417825,5417829,0
1,162622566,59,5417924,5417945,0
0,158436452,68,5418306,5418308,0
0,160532580,67,5418749,5418750,0
1,161570916,47,5418965,5418966,0
0,164725859,64,5419273,5419274,0
0,157382756,106,5419488,5419492,0
0,162629732,66,5419495,5419496,0
0,161582179,61,5419561,5419562,0
1,162623588,28,5419777,5419778,0
1,162622564,49,5419786,5419787,0
0,163678308,65,5420770,5420773,0
0,160532584,99,5421608,5421609,0
0,161582183,40,5422082,5422084,0
0,159482979,75,5422458,5422459,0
0,158434404,44,5422593,5422594,0
0,160533604,38,5422639,5422647,0
1,162622566,59,5422788,5422789,0
0,158436452,68,5423229,5423230,0
0,160532580,67,5423666,5423667,0
1,161570916,47,5423754,5423755,0
0,164725859,64,5424169,5424170,0
0,162629732,66,5424407,5424413,0
0,161582179,61,5424441,5424442,0
1,162623588,28,5424444,5424491,0
1,162622564,49,5424586,5424588,0
0,157382756,106,5424656,5424657,0
1,157379684,58,5425067,5425071,0
1,158427236,54,5425442,5425443,0
0,163678308,65,5425674,5425675,0
0,160532584,99,5426729,5426731,0
0,161582183,40,5426826,5426827,0
0,158434404,44,5427361,5427362,0
0,160533604,38,5427370,5427376,0
0,159482979,75,5427426,5427427,0
1,162622566,59,5427652,5427653,0
0,158436452,68,5428152,5428156,0
1,161570916,47,5428543,5428549,0
0,160532580,67,5428583,5428584,0
0,164725859,64,5429065,5429066,0
1,162623588,28,5429111,5429112,0
0,159485029,100,5429295,5429296,0
0,162629732,66,5429319,5429758,0
0,161582179,61,5429321,5429322,0
1,162622564,49,5429386,5429387,0
0,157382756,106,5429824,5429825,0
0,157384800,105,5429875,5429876,0
1,157379684,58,5429926,5429927,0
0,157384804,73,5429944,5429945,0
1,158427236,54,5430273,5430274,0
0,163678308,65,5430578,5430579,0
0,161582183,40,5431570,5431571,0
0,160532584,99,5431851,5431862,0
0,160533604,38,5432101,5432105,0
0,158434404,44,5432129,5432130,0
0,159482979,75,5432394,5432412,0
1,162622566,59,5432516,5432517,0
0,158436452,68,5433075,5433076,0
1,161570916,47,5433332,5433334,0
0,160532580,67,5433500,5433501,0
1,162623588,28,5433778,5433779,0
0,164725859,64,5433961,5433963,0
1,162622564,49,5434186,5434187,0
0,161582179,61,5434201,5434203,0
0,162629732,66,5434231,5434235,0
0,159485029,100,5434423,5434424,0
1,157379684,58,5434785,5434786,0
0,157384804,73,5434899,5434900,0
0,157382756,106,5434992,5434993,0
0,157384800,105,5435035,5435036,0
1,158427236,54,5435105,5435109,0
0,163678308,65,5435482,5435492,0
1,162619491,16,5436295,5436296,0
0,161582183,40,5436314,5436315,0
0,160533604,38,5436832,5436833,0
0,158434404,44,5436896,5436897,0
0,160532584,99,5436973,5436974,0
0,159482979,75,5437362,5437363,0
1,162622566,59,5437380,5437381,0
1,158425191,97,5437599,5437600,0
0,158436452,68,5437998,5438017,0
1,161570916,47,5438121,5438123,0
0,160532580,67,5438417,5438422,0
1,162623588,28,5438445,5438446,0
0,164725859,64,5438857,5438858,0
1,159473763,14,5438923,5438924,0
1,162622564,49,5438986,5438987,0
0,161582179,61,5439081,5439082,0
0,162629732,66,5439143,5439145,0
0,159485029,100,5439551,5439682,0
1,157379684,58,5439644,5439646,0
0,157384804,73,5439854,5439855,0
0,157382756,106,5440160,5440162,0
0,157384800,105,5440195,5440196,0
0,163678308,65,5440386,5440387,0
1,162619491,16,5440887,5440890,0
0,161582183,40,5441058,5441059,0
0,160533604,38,5441563,5441569,0
0,158434404,44,5441664,5441665,0
1,157378660,53,5441864,5441865,0
1,157378661,23,5441947,5441949,0
1,162622566,59,5442244,5442245,0
0,159482979,75,5442330,5442388,0
1,158425191,97,5442708,5442710,0
1,161570916,47,5442910,5442930,0
0,158436452,68,5442921,5442924,0
1,162623588,28,5443112,5443121,0
0,160532580,67,5443334,5443335,0
1,159473763,14,5443499,5443500,0
0,164725859,64,5443753,5443754,0
1,162622564,49,5443786,5443788,0
0,161582179,61,5443961,5443964,0
0,162629732,66,5444055,5444057,0
1,157379684,58,5444503,5444504,0
0,159485029,100,5444679,5444680,0
1,158426214,24,5444803,5444804,0
0,157384804,73,5444809,5444810,0
0,163678308,65,5445290,5445293,0
