key,value,eventTime,arrivalTime,processedTime
162630758,69,2682319,2682320,0
162630758,69,2687247,2687248,0
160532580,67,5384330,5384331,0
160532580,67,5389247,5389248,0
162629732,66,5390024,5390026,0
159482979,75,5392649,5392650,0
160532580,67,5394164,5394165,0
162629732,66,5394936,5394937,0
163678308,65,5396250,5396251,0
159482979,75,5397617,5397618,0
160532580,67,5399081,5399099,0
162629732,66,5399848,5399851,0
163678308,65,5401154,5401155,0
159482979,75,5402585,5402586,0
161582183,40,5403106,5403107,0
160532580,67,5403998,5404001,0
162629732,66,5404760,5404762,0
163678308,65,5406058,5406061,0
159482979,75,5407553,5407554,0
161582183,40,5407850,5407852,0
160532580,67,5408915,5408916,0
164725859,64,5409481,5409482,0
162629732,66,5409672,5409675,0
163678308,65,5410962,5410963,0
159482979,75,5412521,5412522,0
161582183,40,5412594,5412595,0
158434404,44,5413057,5413058,0
158436452,68,5413383,5413384,0
160532580,67,5413832,5413833,0
157382756,106,5414320,5414454,0
164725859,64,5414377,5414379,0
162629732,66,5414584,5414585,0
161582179,61,5414681,5414683,0
163678308,65,5415866,5415871,0
161582183,40,5417338,5417339,0
159482979,75,5417489,5417490,0
158434404,44,5417825,5417827,0
158436452,68,5418306,5418307,0
160532580,67,5418749,5418753,0
164725859,64,5419273,5419274,0
157382756,106,5419488,5419489,0
162629732,66,5419495,5419497,0
161582179,61,5419561,5419565,0
163678308,65,5420770,5420772,0
160532584,99,5421608,5421612,0
161582183,40,5422082,5422083,0
159482979,75,5422458,5422459,0
158434404,44,5422593,5422594,0
160533604,38,5422639,5422640,0
158436452,68,5423229,5423247,0
160532580,67,5423666,5423669,0
164725859,64,5424169,5424170,0
162629732,66,5424407,5424408,0
161582179,61,5424441,5424442,0
157382756,106,5424656,5424657,0
163678308,65,5425674,5425675,0
160532584,99,5426729,5426730,0
161582183,40,5426826,5426827,0
158434404,44,5427361,5427402,0
160533604,38,5427370,5427373,0
159482979,75,5427426,5427432,0
158436452,68,5428152,5428155,0
160532580,67,5428583,5428584,0
164725859,64,5429065,5429067,0
159485029,100,5429295,5429297,0
162629732,66,5429319,5429320,0
161582179,61,5429321,5429325,0
157382756,106,5429824,5429826,0
157384800,105,5429875,5429881,0
157384804,73,5429944,5429971,0
163678308,65,5430578,5430580,0
161582183,40,5431570,5431571,0
160532584,99,5431851,5431852,0
160533604,38,5432101,5432104,0
158434404,44,5432129,5432130,0
159482979,75,5432394,5432607,0
158436452,68,5433075,5433083,0
160532580,67,5433500,5433502,0
164725859,64,5433961,5433962,0
161582179,61,5434201,5434202,0
162629732,66,5434231,5434233,0
159485029,100,5434423,5434424,0
157384804,73,5434899,5434904,0
157382756,106,5434992,5434994,0
157384800,105,5435035,5435037,0
163678308,65,5435482,5435483,0
161582183,40,5436314,5436318,0
160533604,38,5436832,5436833,0
158434404,44,5436896,5436897,0
160532584,99,5436973,5436974,0
159482979,75,5437362,5437368,0
158436452,68,5437998,5437999,0
160532580,67,5438417,5438418,0
164725859,64,5438857,5438862,0
161582179,61,5439081,5439088,0
162629732,66,5439143,5439144,0
159485029,100,5439551,5439552,0
157384804,73,5439854,5439858,0
157382756,106,5440160,5440161,0
157384800,105,5440195,5440196,0
163678308,65,5440386,5440391,0
161582183,40,5441058,5441059,0
160533604,38,5441563,5441564,0
158434404,44,5441664,5441666,0
159482979,75,5442330,5442332,0
158436452,68,5442921,5442924,0
160532580,67,5443334,5443335,0
164725859,64,5443753,5443754,0
161582179,61,5443961,5443971,0
162629732,66,5444055,5444056,0
159485029,100,5444679,5444684,0
157384804,73,5444809,5444810,0
163678308,65,5445290,5445291,0
157382756,106,5445328,5445329,0
157384800,105,5445355,5445356,0
161582183,40,5445802,5445803,0
160533604,38,5446294,5446296,0
158434404,44,5446432,5446433,0
159482979,75,5447298,5447299,0
158436452,68,5447844,5447846,0
157384804,74,5448085,5448086,0
160532580,67,5448251,5448252,0
164725859,64,5448649,5448653,0
161582179,61,5448841,5448842,0
162629732,66,5448967,5448969,0
157384804,73,5449764,5449776,0
159485029,100,5449808,5449814,0
163678308,65,5450194,5450195,0
157382756,106,5450496,5450497,0
157384800,105,5450515,5450516,0
161582183,40,5450546,5450547,0
160533604,38,5451025,5451026,0
158434404,44,5451200,5451201,0
159482979,75,5452266,5452269,0
158436452,68,5452767,5452768,0
157384805,74,5453047,5453048,0
160532580,67,5453168,5453171,0
164725859,64,5453545,5453546,0
161582179,61,5453721,5453722,0
162629732,66,5453879,5453895,0
157384804,73,5454719,5454721,0
159485029,100,5454936,5454937,0
163678308,65,5455098,5455099,0
161582183,40,5455290,5455291,0
157382756,106,5455664,5455665,0
157384800,105,5455675,5455676,0
160533604,38,5455756,5455759,0
158434404,44,5455968,5455969,0
159482979,75,5457234,5457235,0
158436452,68,5457690,5457691,0
163676260,63,5457752,5457753,0
157384805,74,5458009,5458010,0
160532580,67,5458085,5458086,0
164725859,64,5458441,5458442,0
161582179,61,5458601,5458602,0
162629732,66,5458791,5458792,0
157384804,73,5459674,5459676,0
163678308,65,5460002,5460003,0
161582183,40,5460034,5460035,0
159485029,100,5460064,5460065,0
160533604,38,5460487,5460489,0
158434404,44,5460736,5460737,0
157382756,106,5460832,5460833,0
157384800,105,5460835,5460839,0
159482979,75,5462202,5462203,0
158436452,68,5462613,5462614,0
163676260,63,5462643,5462658,0
162629733,71,5462882,5462887,0
157384805,74,5462971,5462972,0
160532580,67,5463002,5463005,0
164725859,64,5463337,5463338,0
161582179,61,5463481,5463484,0
162629732,66,5463703,5463704,0
157384804,73,5464629,5464630,0
161582183,40,5464778,5464779,0
163678308,65,5464906,5464907,0
159485029,100,5465192,5465193,0
160533604,38,5465218,5465695,0
158434404,44,5465504,5465505,0
157384800,105,5465995,5466003,0
157382756,106,5466000,5466001,0
159482979,75,5467170,5467171,0
163676260,63,5467534,5467535,0
158436452,68,5467535,5467537,0
162629733,71,5467826,5467904,0
160532580,67,5467919,5467920,0
157384805,74,5467933,5467934,0
164725859,64,5468233,5468234,0
161582179,61,5468361,5468362,0
162629732,66,5468615,5468618,0
161582183,40,5469522,5469523,0
157384804,73,5469584,5469585,0
163678308,65,5469810,5469812,0
160533604,38,5469949,5469950,0
158434404,44,5470272,5470273,0
159485029,100,5470320,5470321,0
157384800,105,5471155,5471165,0
157382756,106,5471168,5471169,0
159482979,75,5472138,5472140,0
163676260,63,5472425,5472428,0
158436452,68,5472458,5472461,0
162629733,71,5472770,5472771,0
160532580,67,5472836,5472838,0
157384805,74,5472895,5472900,0
164725859,64,5473129,5473132,0
161582179,61,5473241,5473242,0
162629732,66,5473527,5473528,0
161582183,40,5474266,5474267,0
157384804,73,5474539,5474542,0
160533604,38,5474680,5474681,0
163678308,65,5474714,5474715,0
158434404,44,5475040,5475041,0
159485029,100,5475448,5475449,0
157384800,105,5476315,5476316,0
157382756,106,5476336,5476337,0
159482979,75,5477106,5477107,0
163676260,63,5477316,5477448,0
158436452,68,5477381,5477382,0
162629733,71,5477714,5477717,0
160532580,67,5477753,5477754,0
157384805,74,5477857,5477858,0
164725859,64,5478025,5478030,0
161582179,61,5478121,5478123,0
162629732,66,5478439,5478440,0
161582183,40,5479010,5479011,0
160533604,38,5479411,5479418,0
157384804,73,5479494,5479495,0
163678308,65,5479618,5479619,0
159485028,62,5479652,5479653,0
158434404,44,5479808,5479809,0
159485029,100,5480576,5480591,0
157384800,105,5481475,5481478,0
157382756,106,5481504,5481511,0
159482979,75,5482074,5482075,0
163676260,63,5482207,5482208,0
158436452,68,5482304,5482305,0
162629733,71,5482658,5482659,0
160532580,67,5482670,5482672,0
157384805,74,5482818,5482819,0
164725859,64,5482921,5482922,0
161582179,61,5483001,5483002,0
162629732,66,5483351,5483352,0
161582183,40,5483754,5483755,0
160533604,38,5484142,5484143,0
157384804,73,5484449,5484452,0
163678308,65,5484522,5484535,0
159485028,62,5484537,5484539,0
158434404,44,5484576,5484577,0
159485029,100,5485704,5485706,0
157384800,105,5486635,5486638,0
157382756,106,5486672,5486677,0
159482979,75,5487042,5487044,0
163676260,63,5487098,5487102,0
158436452,68,5487227,5487239,0
160532580,67,5487587,5487592,0
162629733,71,5487602,5487603,0
157384805,74,5487780,5487781,0
164725859,64,5487817,5487818,0
161582179,61,5487880,5487881,0
162629732,66,5488263,5488264,0
161582183,40,5488498,5488499,0
160533604,38,5488873,5488875,0
158434404,44,5489344,5489345,0
157384804,73,5489404,5489405,0
159485028,62,5489422,5489423,0
163678308,65,5489426,5489427,0
159485029,100,5490832,5490833,0
157384800,105,5491795,5491797,0
157382756,106,5491840,5491841,0
163676260,63,5491989,5491991,0
159482979,75,5492010,5492011,0
158436452,68,5492150,5492155,0
160532580,67,5492503,5492504,0
162629733,71,5492546,5492550,0
164725859,64,5492713,5492715,0
157384805,74,5492742,5492744,0
161582179,61,5492760,5492761,0
162629732,66,5493175,5493176,0
161582183,40,5493242,5493243,0
160533604,38,5493604,5493647,0
158434404,44,5494112,5494121,0
159485028,62,5494307,5494308,0
163678308,65,5494330,5494343,0
157384804,73,5494359,5494360,0
159485029,100,5495960,5495961,0
163676260,63,5496880,5496881,0
157384800,105,5496955,5496958,0
159482979,75,5496978,5496980,0
157382756,106,5497008,5497011,0
158436452,68,5497073,5497075,0
160532580,67,5497420,5497421,0
162629733,71,5497490,5497491,0
164725859,64,5497609,5497611,0
161582179,61,5497640,5497641,0
157384805,74,5497704,5497705,0
161582183,40,5497986,5497988,0
162629732,66,5498087,5498089,0
160533604,38,5498334,5498336,0
158434404,44,5498880,5498881,0
159485028,62,5499192,5499193,0
163678308,65,5499234,5499266,0
157384804,73,5499314,5499316,0
159485029,100,5501088,5501090,0
163676260,63,5501771,5501772,0
159482979,75,5501946,5501947,0
158436452,68,5501996,5501997,0
157384800,105,5502115,5502118,0
157382756,106,5502176,5502213,0
160532580,67,5502337,5502338,0
162629733,71,5502434,5502435,0
164725859,64,5502505,5502506,0
161582179,61,5502520,5502521,0
157384805,74,5502666,5502672,0
161582183,40,5502730,5502733,0
162629732,66,5502999,5503002,0
160533604,38,5503065,5503067,0
158434404,44,5503648,5503649,0
159485028,62,5504077,5504078,0
163678308,65,5504138,5504139,0
157384804,73,5504269,5504271,0
159485029,100,5506216,5506219,0
163676260,63,5506662,5506663,0
159482979,75,5506914,5506917,0
158436452,68,5506919,5506920,0
160532580,67,5507254,5507255,0
157384800,105,5507276,5507277,0
157382756,106,5507344,5507345,0
162629733,71,5507378,5507379,0
